condition_id,matched_group_id,game,split,private_state,belief,objective,value_margin,strategy,expected_action,top1_text,formatting_compliant,correct,legal_choice,legal_choice_correct,regret,output_entropy,chosen_probability
cheap_talk-loc-b22d378d044d,cheap_talk-locked_replication-05,cheap_talk,locked_replication,5,1.0,4.0,1.25,aligned_message,C,C,True,True,C,True,0.0,0.3588774318720786,0.9106257616549195
cheap_talk-loc-b6ebc1adddfa,cheap_talk-locked_replication-04,cheap_talk,locked_replication,4,1.0,5.0,6.25,aligned_message,C,C,True,True,C,True,0.0,0.05010152808998453,0.9923654440628633
cheap_talk-loc-bbc70368efae,cheap_talk-locked_replication-05,cheap_talk,locked_replication,5,1.0,5.0,6.25,aligned_message,C,C,True,True,C,True,0.0,0.007396703623300999,0.9991515926371669
cheap_talk-loc-d0e9425ecee8,cheap_talk-locked_replication-00,cheap_talk,locked_replication,0,0.0,0.0,6.25,aligned_message,A,A,True,True,A,True,0.0,0.21532837750708778,0.9547419329956494
cheap_talk-loc-f9d810f39e87,cheap_talk-locked_replication-03,cheap_talk,locked_replication,3,0.5,4.0,1.25,influence_message,C,B,True,False,B,False,1.25,0.9414333947374965,0.5061465309542889
disclosure-loc-2dbec69ba93c,disclosure-locked_replication-01,disclosure,locked_replication,"1,2",0.3333333333333333,5.0,4.4,full_disclosure,C,C,True,True,C,True,0.0,0.001072281249643298,0.9999016620101295
disclosure-loc-3f942f47810e,disclosure-locked_replication-05,disclosure,locked_replication,"3,2",0.3333333333333333,5.0,4.15,full_disclosure,C,C,True,True,C,True,0.0,0.0071124924208024794,0.9991862249211025
disclosure-loc-46bc26ee6b2d,disclosure-locked_replication-04,disclosure,locked_replication,"-2,4",0.3333333333333333,5.0,4.9,selective_disclosure,B,B,True,True,B,True,0.0,0.0020874582569699787,0.9997950020498901
disclosure-loc-5c1099cede92,disclosure-locked_replication-00,disclosure,locked_replication,"3,-2",0.6666666666666666,5.0,0.34999999999999964,selective_disclosure,A,A,True,True,A,True,0.0,0.03113154083958591,0.9953815651179945
disclosure-loc-659e63181be9,disclosure-locked_replication-03,disclosure,locked_replication,"4,-3",0.3333333333333333,5.0,5.1,selective_disclosure,A,A,True,True,A,True,0.0,0.06642094350096736,0.9889920712013558
disclosure-loc-6de22b6d0d0b,disclosure-locked_replication-00,disclosure,locked_replication,"2,2",0.3333333333333333,5.0,4.65,full_disclosure,C,C,True,True,C,True,0.0,0.0004954056826647152,0.9999576824925632
disclosure-loc-70a5c8f67abb,disclosure-locked_replication-01,disclosure,locked_replication,"2,-3",0.3333333333333333,5.0,5.1,selective_disclosure,A,A,True,True,A,True,0.0,0.038919549176867664,0.9942429822285356
disclosure-loc-7f907bd8d133,disclosure-locked_replication-02,disclosure,locked_replication,"-1,3",0.6666666666666666,5.0,0.7500000000000004,selective_disclosure,B,B,True,True,B,True,0.0,0.0011860586346169738,0.9998902202950495
disclosure-loc-9f5020dccdd0,disclosure-locked_replication-02,disclosure,locked_replication,"4,-1",0.6666666666666666,5.0,0.8500000000000001,selective_disclosure,A,A,True,True,A,True,0.0,0.045198416874573655,0.9929332613656657
disclosure-loc-be1d659851f8,disclosure-locked_replication-04,disclosure,locked_replication,"2,-1",0.0,5.0,0.09999999999999998,selective_disclosure,A,A,True,True,A,True,0.0,0.184445352129185,0.9615375052137409
disclosure-loc-e39e6553e026,disclosure-locked_replication-05,disclosure,locked_replication,"1,4",0.6666666666666666,5.0,0.7500000000000004,selective_disclosure,B,B,True,True,B,True,0.0,0.0037050892728928116,0.9996111713425146
disclosure-loc-f08f2ac8cc53,disclosure-locked_replication-03,disclosure,locked_replication,"1,3",0.6666666666666666,5.0,0.25,selective_disclosure,B,B,True,True,B,True,0.0,0.0012612111433995166,0.9998824734521726
inspection-loc-136a6faea234,inspection-locked_replication-04,inspection,locked_replication,audit_0.50,0.5,4.0,1.0,risk,A,A,True,True,A,True,0.0,0.019484141122445713,0.9971802102563226
inspection-loc-143655e99801,inspection-locked_replication-01,inspection,locked_replication,audit_0.15,0.15,6.6,2.5999999999999996,risk,A,A,True,True,A,True,0.0,0.01024591855663541,0.9986635450196928
inspection-loc-6054c376515e,inspection-locked_replication-01,inspection,locked_replication,audit_0.15,0.15,7.2,3.2,risk,A,A,True,True,A,True,0.0,0.012898286493200602,0.9982681517466845
inspection-loc-7a7ef89dc17a,inspection-locked_replication-05,inspection,locked_replication,audit_0.65,0.65,2.1999999999999993,1.8000000000000007,safe,B,B,True,True,B,True,0.0,0.006033537835002339,0.9992756134379261
inspection-loc-b861fec3c549,inspection-locked_replication-04,inspection,locked_replication,audit_0.50,0.5,2.0,1.0,safe,B,B,True,True,B,True,0.0,0.009418675241636823,0.9987993369054047
inspection-loc-b9cbc58e630d,inspection-locked_replication-02,inspection,locked_replication,audit_0.25,0.25,7.5,4.5,risk,A,A,True,True,A,True,0.0,0.002339701659372797,0.9997547274596941
inspection-loc-dc939219ef5b,inspection-locked_replication-00,inspection,locked_replication,audit_0.05,0.05,7.5,4.5,risk,A,A,True,True,A,True,0.0,0.00844549929897868,0.9989402807177762
inspection-loc-e3485839ab19,inspection-locked_replication-05,inspection,locked_replication,audit_0.65,0.65,-0.40000000000000036,4.0,safe,B,B,True,True,B,True,0.0,0.0023856939680928554,0.9997505571849985
inspection-loc-e3622c15956b,inspection-locked_replication-02,inspection,locked_replication,audit_0.25,0.25,6.5,3.5,risk,A,A,True,True,A,True,0.0,0.0060551644759715174,0.999273708868738
inspection-loc-e791935c1b55,inspection-locked_replication-00,inspection,locked_replication,audit_0.05,0.05,7.3,4.3,risk,A,A,True,True,A,True,0.0,0.0031601357325169604,0.999653221266674
inspection-loc-f07e2a132ca8,inspection-locked_replication-03,inspection,locked_replication,audit_0.35,0.35,3.8000000000000007,0.1999999999999993,safe,B,B,True,True,B,True,0.0,0.015753986576240168,0.9978006679485489
inspection-loc-f3093b1e842d,inspection-locked_replication-03,inspection,locked_replication,audit_0.35,0.35,2.4000000000000004,1.5999999999999996,safe,B,B,True,True,B,True,0.0,0.006014132311012576,0.9992773990039197
kuhn-loc-041cbde890b9,kuhn-locked_replication-03,kuhn,locked_replication,J,1.0,-2.0,1.0,check,B,A,True,False,A,False,1.0,0.8358859398679377,0.509014132240834
kuhn-loc-16adbc2a828d,kuhn-locked_replication-02,kuhn,locked_replication,K,0.1,1.1,0.10000000000000009,value_bet,A,A,True,True,A,True,0.0,0.870895250216792,0.47182431271808273
kuhn-loc-26182a8b2932,kuhn-locked_replication-05,kuhn,locked_replication,K,0.45,1.45,0.44999999999999996,value_bet,A,A,True,True,A,True,0.0,0.7588269991754061,0.5527921873614987
kuhn-loc-2c79886de120,kuhn-locked_replication-01,kuhn,locked_replication,Q,0.55,1.15,1.15,thin_bet,A,A,True,True,A,True,0.0,0.7681698725091554,0.5793529724965366
kuhn-loc-582ced6f83c7,kuhn-locked_replication-02,kuhn,locked_replication,K,0.55,1.55,0.55,value_bet,A,A,True,True,A,True,0.0,0.7503724426001038,0.6094778438555719
kuhn-loc-702dcd30d69a,kuhn-locked_replication-05,kuhn,locked_replication,K,0.55,1.55,0.55,value_bet,A,A,True,True,A,True,0.0,0.7460338158556763,0.5548408539406539
kuhn-loc-76b7fa5c7ba3,kuhn-locked_replication-01,kuhn,locked_replication,Q,0.1,0.9,0.9,thin_bet,A,B,True,False,B,False,0.9,0.95855457669909,0.49951773218013035
kuhn-loc-98f462e66e04,kuhn-locked_replication-04,kuhn,locked_replication,Q,0.5,-0.5,0.5,check,B,B,True,True,B,True,0.0,0.7388583798714007,0.5260908234056273
kuhn-loc-aa1717f4157e,kuhn-locked_replication-00,kuhn,locked_replication,J,0.1,0.7,1.7,bluff,A,B,True,False,B,False,1.7,0.9730946988291815,0.46831028713737105
kuhn-loc-b2b1a1be0ee2,kuhn-locked_replication-04,kuhn,locked_replication,Q,0.55,-0.44999999999999996,0.44999999999999996,check,B,A,True,False,A,False,0.44999999999999996,0.7385622072425787,0.49546259629139
kuhn-loc-d6bcf41bf33a,kuhn-locked_replication-00,kuhn,locked_replication,J,0.2,0.4,1.4,bluff,A,A,True,True,A,True,0.0,0.6920023052845423,0.669738122302009
kuhn-loc-dd7cd132640b,kuhn-locked_replication-03,kuhn,locked_replication,J,0.95,-1.85,0.8500000000000001,check,B,B,True,True,B,True,0.0,0.9390142723982435,0.4809059495691863
signaling-loc-1847b09bba02,signaling-locked_replication-05,signaling,locked_replication,H,0.5,2.0,0.04999999999999982,pooling_down,B,B,True,True,B,True,0.0,0.9390142723982435,0.4809059495691863
signaling-loc-364f0a2468df,signaling-locked_replication-01,signaling,locked_replication,M,0.5,2.0,0.3999999999999999,separating,B,B,True,True,B,True,0.0,0.7462375366110756,0.6353096344995107
signaling-loc-3f1ef06febb1,signaling-locked_replication-04,signaling,locked_replication,M,0.0,0.0,1.0,pooling_down,A,A,True,True,A,True,0.0,0.8754520174588041,0.5985884545647022
signaling-loc-4ee7fadd0fcd,signaling-locked_replication-03,signaling,locked_replication,L,0.0,0.0,0.9700000000000006,separating,A,A,True,True,A,True,0.0,0.9082232568540526,0.5175565982815792
signaling-loc-5e3052374520,signaling-locked_replication-00,signaling,locked_replication,L,0.5,2.0,1.19,pooling_up,B,B,True,True,B,True,0.0,0.9272372882511674,0.5773095201969798
signaling-loc-622a967eea64,signaling-locked_replication-03,signaling,locked_replication,L,0.0,0.0,2.0500000000000007,separating,A,A,True,True,A,True,0.0,1.0041778571104505,0.545338338590764
signaling-loc-6c04b7966141,signaling-locked_replication-02,signaling,locked_replication,H,0.5,2.0,1.2500000000000004,pooling_down,B,B,True,True,B,True,0.0,0.8844517911128804,0.5740969967840651
signaling-loc-8f75a15e7919,signaling-locked_replication-04,signaling,locked_replication,M,0.0,0.0,0.20000000000000018,pooling_down,A,B,True,False,B,False,0.20000000000000018,0.955955290655151,0.4749179200218781
signaling-loc-a03268910d74,signaling-locked_replication-00,signaling,locked_replication,L,0.5,2.0,0.6499999999999999,pooling_up,B,B,True,True,B,True,0.0,0.7886210150498119,0.6253168569486153
signaling-loc-a1d270fddf8e,signaling-locked_replication-02,signaling,locked_replication,H,1.0,4.0,0.43999999999999995,separating,C,B,True,False,B,False,0.43999999999999995,1.0247674666495559,0.4865780809812632
signaling-loc-cdef9041ec86,signaling-locked_replication-01,signaling,locked_replication,M,0.5,2.0,1.0,separating,B,B,True,True,B,True,0.0,0.6664890766720879,0.6967778328581865
signaling-loc-d55b575e7d1a,signaling-locked_replication-05,signaling,locked_replication,H,1.0,4.0,0.18000000000000016,separating,C,B,True,False,B,False,0.18000000000000016,0.8923895279703181,0.5224289098045292
