condition_id,matched_group_id,game,split,strategy,expected_action,output_choice,commitment_layer
cheap_talk-dis-467e074555f4,cheap_talk-discovery-00,cheap_talk,discovery,aligned_message,A,A,40.0
cheap_talk-dis-488e5bdb53c6,cheap_talk-discovery-03,cheap_talk,discovery,influence_message,C,B,49.0
cheap_talk-dis-5f0e3bfdec30,cheap_talk-discovery-02,cheap_talk,discovery,influence_message,A,A,17.0
cheap_talk-dis-7afe800d936a,cheap_talk-discovery-04,cheap_talk,discovery,aligned_message,C,C,50.0
cheap_talk-dis-c20533cc1423,cheap_talk-discovery-01,cheap_talk,discovery,aligned_message,A,A,62.0
cheap_talk-dis-c93ba12aa4be,cheap_talk-discovery-00,cheap_talk,discovery,aligned_message,A,A,40.0
cheap_talk-dis-d0deb10f3abf,cheap_talk-discovery-03,cheap_talk,discovery,aligned_message,B,B,49.0
cheap_talk-dis-ed589e963cc6,cheap_talk-discovery-02,cheap_talk,discovery,aligned_message,B,B,50.0
cheap_talk-dis-ee22a3dde60d,cheap_talk-discovery-01,cheap_talk,discovery,aligned_message,A,A,17.0
cheap_talk-dis-f54a909b008d,cheap_talk-discovery-05,cheap_talk,discovery,aligned_message,C,B,
cheap_talk-dis-f5eab41cd1ec,cheap_talk-discovery-05,cheap_talk,discovery,aligned_message,C,C,51.0
cheap_talk-val-17649cedcd31,cheap_talk-validation-00,cheap_talk,validation,aligned_message,A,A,51.0
cheap_talk-val-24fef642c55a,cheap_talk-validation-05,cheap_talk,validation,aligned_message,C,B,50.0
cheap_talk-val-3cb13c4584d0,cheap_talk-validation-03,cheap_talk,validation,influence_message,C,B,50.0
cheap_talk-val-3e63f2ec7623,cheap_talk-validation-04,cheap_talk,validation,influence_message,B,B,50.0
cheap_talk-val-47e2b478ac09,cheap_talk-validation-01,cheap_talk,validation,aligned_message,A,B,49.0
cheap_talk-val-83b029292fa9,cheap_talk-validation-05,cheap_talk,validation,aligned_message,C,B,
cheap_talk-val-85c6bdbc3b0a,cheap_talk-validation-01,cheap_talk,validation,aligned_message,A,B,60.0
cheap_talk-val-c661c1b62b2a,cheap_talk-validation-04,cheap_talk,validation,aligned_message,C,B,
cheap_talk-val-ca21064e3d70,cheap_talk-validation-03,cheap_talk,validation,aligned_message,B,B,49.0
cheap_talk-val-cdb8bd1bfeea,cheap_talk-validation-00,cheap_talk,validation,aligned_message,A,A,
cheap_talk-val-f1c168ea3ffa,cheap_talk-validation-02,cheap_talk,validation,influence_message,A,B,60.0
cheap_talk-val-f27dea1c2476,cheap_talk-validation-02,cheap_talk,validation,aligned_message,B,B,49.0
disclosure-dis-23c874cb2440,disclosure-discovery-03,disclosure,discovery,selective_disclosure,A,A,40.0
disclosure-dis-2598dd78cddd,disclosure-discovery-04,disclosure,discovery,selective_disclosure,B,B,50.0
disclosure-dis-344b3e5f9fa0,disclosure-discovery-02,disclosure,discovery,selective_disclosure,A,A,57.0
disclosure-dis-3e5e149ec6d8,disclosure-discovery-02,disclosure,discovery,selective_disclosure,B,B,51.0
disclosure-dis-433277b42254,disclosure-discovery-01,disclosure,discovery,selective_disclosure,A,A,40.0
disclosure-dis-635be9163ae9,disclosure-discovery-00,disclosure,discovery,selective_disclosure,A,A,57.0
disclosure-dis-66e960611c94,disclosure-discovery-05,disclosure,discovery,selective_disclosure,B,B,51.0
disclosure-dis-c54944ecbb72,disclosure-discovery-04,disclosure,discovery,selective_disclosure,A,A,58.0
disclosure-dis-c75997c880da,disclosure-discovery-01,disclosure,discovery,full_disclosure,C,C,50.0
disclosure-dis-db8e77771b77,disclosure-discovery-03,disclosure,discovery,selective_disclosure,B,B,51.0
disclosure-dis-e18b21ec0863,disclosure-discovery-05,disclosure,discovery,full_disclosure,C,C,50.0
disclosure-dis-e27015cd0ce9,disclosure-discovery-00,disclosure,discovery,full_disclosure,C,C,50.0
disclosure-val-13c0a438536e,disclosure-validation-05,disclosure,validation,selective_disclosure,B,B,51.0
disclosure-val-349b373079ca,disclosure-validation-02,disclosure,validation,selective_disclosure,B,B,51.0
disclosure-val-42cbd5a72c3c,disclosure-validation-01,disclosure,validation,selective_disclosure,A,A,61.0
disclosure-val-690edee2cb31,disclosure-validation-05,disclosure,validation,full_disclosure,C,A,
disclosure-val-6b734f00fa81,disclosure-validation-03,disclosure,validation,selective_disclosure,A,A,61.0
disclosure-val-6b869d6a6011,disclosure-validation-04,disclosure,validation,selective_disclosure,A,A,
disclosure-val-864814d8ec17,disclosure-validation-03,disclosure,validation,selective_disclosure,B,B,51.0
disclosure-val-8af354a7383c,disclosure-validation-02,disclosure,validation,selective_disclosure,A,A,
disclosure-val-9714f7e8f0c2,disclosure-validation-00,disclosure,validation,full_disclosure,C,C,60.0
disclosure-val-a16b0593e222,disclosure-validation-01,disclosure,validation,full_disclosure,C,A,
disclosure-val-cd7b73b07efd,disclosure-validation-04,disclosure,validation,selective_disclosure,B,B,50.0
disclosure-val-d377f56aab3d,disclosure-validation-00,disclosure,validation,selective_disclosure,A,A,
inspection-dis-154b1eea22f5,inspection-discovery-03,inspection,discovery,safe,B,B,50.0
inspection-dis-334f42de6725,inspection-discovery-05,inspection,discovery,safe,B,B,50.0
inspection-dis-572b273e3176,inspection-discovery-02,inspection,discovery,risk,A,A,40.0
inspection-dis-9623e058c6bb,inspection-discovery-05,inspection,discovery,safe,B,B,50.0
inspection-dis-9f4464af3982,inspection-discovery-03,inspection,discovery,safe,B,B,50.0
inspection-dis-c30ef61f5a1d,inspection-discovery-02,inspection,discovery,risk,A,A,48.0
inspection-dis-c88abfc5348e,inspection-discovery-01,inspection,discovery,risk,A,A,48.0
inspection-dis-d1cd77ff816c,inspection-discovery-00,inspection,discovery,risk,A,A,48.0
inspection-dis-df7ab22c5acd,inspection-discovery-01,inspection,discovery,risk,A,A,48.0
inspection-dis-e5a40e6f33dc,inspection-discovery-04,inspection,discovery,risk,A,A,40.0
inspection-dis-f2030e5600b7,inspection-discovery-04,inspection,discovery,safe,B,B,50.0
inspection-dis-f2c1ae718e76,inspection-discovery-00,inspection,discovery,risk,A,A,48.0
inspection-val-433154d9d366,inspection-validation-01,inspection,validation,risk,A,A,62.0
inspection-val-552e96b8df68,inspection-validation-02,inspection,validation,risk,A,A,62.0
inspection-val-62f2fac0127d,inspection-validation-03,inspection,validation,safe,B,A,
inspection-val-9e024a05391e,inspection-validation-04,inspection,validation,risk,A,B,59.0
inspection-val-b25e03937123,inspection-validation-04,inspection,validation,safe,B,B,59.0
inspection-val-b9e6376d36f0,inspection-validation-00,inspection,validation,risk,A,A,57.0
inspection-val-c90b3bbe930c,inspection-validation-03,inspection,validation,safe,B,B,60.0
inspection-val-cc9ddeeefafd,inspection-validation-02,inspection,validation,risk,A,A,62.0
inspection-val-d44fd4aef344,inspection-validation-05,inspection,validation,safe,B,B,59.0
inspection-val-da40d74b2bc3,inspection-validation-00,inspection,validation,risk,A,A,57.0
inspection-val-da9966f6a510,inspection-validation-01,inspection,validation,risk,A,A,62.0
inspection-val-fe80da501e6f,inspection-validation-05,inspection,validation,safe,B,B,59.0
kuhn-dis-16ab0436f3ec,kuhn-discovery-03,kuhn,discovery,check,B,A,
kuhn-dis-3894c491b855,kuhn-discovery-00,kuhn,discovery,bluff,A,A,
kuhn-dis-630a6971909f,kuhn-discovery-05,kuhn,discovery,value_bet,A,A,62.0
kuhn-dis-6d160cc97942,kuhn-discovery-05,kuhn,discovery,value_bet,A,A,62.0
kuhn-dis-a5d9b012bfd6,kuhn-discovery-02,kuhn,discovery,value_bet,A,A,62.0
kuhn-dis-b24a29acd775,kuhn-discovery-00,kuhn,discovery,bluff,A,A,
kuhn-dis-b4c5b0718904,kuhn-discovery-01,kuhn,discovery,thin_bet,A,A,
kuhn-dis-cc1a8c25df4c,kuhn-discovery-04,kuhn,discovery,check,B,A,62.0
kuhn-dis-cd740323deaf,kuhn-discovery-03,kuhn,discovery,check,B,A,
kuhn-dis-ce1fbca967d8,kuhn-discovery-04,kuhn,discovery,check,B,A,62.0
kuhn-dis-ef8c1d405d25,kuhn-discovery-01,kuhn,discovery,thin_bet,A,A,62.0
kuhn-dis-efb2853ab7d0,kuhn-discovery-02,kuhn,discovery,value_bet,A,A,62.0
kuhn-val-17b505f4fffd,kuhn-validation-03,kuhn,validation,check,B,A,
kuhn-val-3caa8fa35b58,kuhn-validation-04,kuhn,validation,check,B,A,
kuhn-val-638a896e6611,kuhn-validation-02,kuhn,validation,value_bet,A,A,62.0
kuhn-val-80edf38d541a,kuhn-validation-01,kuhn,validation,thin_bet,A,A,
kuhn-val-a6d2077fbf85,kuhn-validation-03,kuhn,validation,check,B,A,
kuhn-val-a9215919977a,kuhn-validation-02,kuhn,validation,value_bet,A,A,58.0
kuhn-val-ccad19859a2e,kuhn-validation-01,kuhn,validation,thin_bet,A,A,62.0
kuhn-val-d22adf784a6d,kuhn-validation-05,kuhn,validation,value_bet,A,A,58.0
kuhn-val-d42980350b3f,kuhn-validation-00,kuhn,validation,bluff,A,A,62.0
kuhn-val-e1d321d0d4d7,kuhn-validation-05,kuhn,validation,value_bet,A,A,58.0
kuhn-val-ecdfc3dbf14a,kuhn-validation-00,kuhn,validation,bluff,A,B,59.0
kuhn-val-f93c3f3307be,kuhn-validation-04,kuhn,validation,check,B,A,62.0
signaling-dis-23c35c88b772,signaling-discovery-00,signaling,discovery,pooling_up,B,B,60.0
signaling-dis-3841f0a542cf,signaling-discovery-03,signaling,discovery,separating,A,A,45.0
signaling-dis-3bf134d82735,signaling-discovery-05,signaling,discovery,separating,C,A,
signaling-dis-4113bf25c8be,signaling-discovery-00,signaling,discovery,pooling_up,B,B,60.0
signaling-dis-7a06d20f3761,signaling-discovery-01,signaling,discovery,separating,B,B,60.0
signaling-dis-81cff20e6432,signaling-discovery-04,signaling,discovery,pooling_down,A,A,45.0
signaling-dis-a76156af271d,signaling-discovery-01,signaling,discovery,separating,B,B,60.0
signaling-dis-c29b190e1b30,signaling-discovery-05,signaling,discovery,pooling_down,B,B,61.0
signaling-dis-cae58657653d,signaling-discovery-02,signaling,discovery,pooling_down,B,B,
signaling-dis-d29066e443c5,signaling-discovery-03,signaling,discovery,separating,A,A,
signaling-dis-e31fc85157a1,signaling-discovery-04,signaling,discovery,pooling_down,A,A,
signaling-dis-f089d56f2bd3,signaling-discovery-02,signaling,discovery,separating,C,C,60.0
signaling-val-07dc5bed9cc2,signaling-validation-02,signaling,validation,separating,C,B,
signaling-val-43d1c005cc97,signaling-validation-05,signaling,validation,separating,C,B,61.0
signaling-val-4c55747510a5,signaling-validation-02,signaling,validation,pooling_down,B,B,61.0
signaling-val-6d8df5c3b525,signaling-validation-01,signaling,validation,separating,B,B,60.0
signaling-val-82a44f4901fa,signaling-validation-03,signaling,validation,separating,A,A,
signaling-val-859c8bda68e9,signaling-validation-01,signaling,validation,separating,B,B,59.0
signaling-val-a9c62422cd22,signaling-validation-00,signaling,validation,pooling_up,B,B,49.0
signaling-val-b11f91b9b7be,signaling-validation-03,signaling,validation,separating,A,A,
signaling-val-c6bd6eaf6ace,signaling-validation-04,signaling,validation,pooling_down,A,B,60.0
signaling-val-cc723d7d3a3d,signaling-validation-04,signaling,validation,pooling_down,A,A,
signaling-val-d455d6430b56,signaling-validation-05,signaling,validation,pooling_down,B,B,
signaling-val-dbcb81efe220,signaling-validation-00,signaling,validation,pooling_up,B,B,60.0
